startX,bin,pins
803.5,bin3,'pinR1C8|pinR1C9|pinR2C8|pinR5C7|pinR4C6|pinR6C6|pinR7C6|pinR11C4|pinR11C3|pinR11C2|'
774.5,bin10,'pinR1C8|pinR1C7|pinR4C6|pinR5C6|pinR5C6|pinR7C7|sep|pinSep9|'
648.5,bin10,'pinR2C6|pinR6C9|pinR7C10|pinR7C11|wall|pinR5C11|pinR8C10|pinR7C11|pinR10C10|wallsep|wall|pinR11C11|pinR11C11|pinSep10|sep|'
1036.5,bin9,'pinR2C10|pinR1C10|pinR4C10|pinR6C10|pinR9C10|pinR10C10|pinR9C11|pinR9C10|pinR9C10|pinR9C10|pinR9C10|pinR10C10|pinR11C10|sep|'
494.5,bin3,'pinR1C5|pinR3C6|pinR2C6|pinR3C6|pinR4C6|pinR7C5|pinR6C5|pinR8C5|pinR11C4|pinR10C3|pinR11C4|'
94.5,bin4,'pinR1C1|pinR1C1|pinR2C1|leftwall|wall|pinR5C1|pinR4C1|pinR5C1|pinR5C1|pinR6C1|wall|pinR11C2|pinR11C3|pinR10C3|'
433.5,bin7,'pinR2C4|pinR1C4|pinR2C4|pinR3C4|pinR6C5|pinR5C6|pinR6C5|pinR7C5|pinR8C4|pinR10C5|pinR10C6|pinR10C6|pinR11C6|'
53.5,bin1,'wall|pinR5C2|pinR5C3|pinR5C2|pinR7C1|wall|pinR7C1|wall|pinR9C1|pinR9C2|pinR10C1|pinR11C1|pinSep1|wallsep|'
142.5,bin4,'pinR2C1|pinR1C2|pinR2C1|pinR3C2|pinR5C1|wall|wall|pinR7C1|pinR11C3|pinR11C5|'
677.5,bin3,'pinR1C7|pinR1C6|pinR2C6|pinR3C7|pinR2C7|pinR4C7|pinR4C8|pinR5C8|pinR7C7|pinR6C6|pinR7C7|pinR8C6|pinR11C5|pinR10C4|pinR11C3|pinSep3|pinSep2|'
